Commodity,Year,Attribute,Value,Notes
"Caloric sweeteners, per capita availability ",1966,"U.S. population, July 1-Millions",196.56,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1967,"U.S. population, July 1-Millions",198.712,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1968,"U.S. population, July 1-Millions",200.706,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1969,"U.S. population, July 1-Millions",202.677,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1970,"U.S. population, July 1-Millions",205.052,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1971,"U.S. population, July 1-Millions",207.661,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1972,"U.S. population, July 1-Millions",209.896,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1973,"U.S. population, July 1-Millions",211.909,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1974,"U.S. population, July 1-Millions",213.854,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1975,"U.S. population, July 1-Millions",215.973,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1976,"U.S. population, July 1-Millions",218.035,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1977,"U.S. population, July 1-Millions",220.239,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1978,"U.S. population, July 1-Millions",222.585,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1979,"U.S. population, July 1-Millions",225.055,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1980,"U.S. population, July 1-Millions",227.726,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1981,"U.S. population, July 1-Millions",229.966,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1982,"U.S. population, July 1-Millions",232.188,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1983,"U.S. population, July 1-Millions",234.307,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1984,"U.S. population, July 1-Millions",236.348,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1985,"U.S. population, July 1-Millions",238.466,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1986,"U.S. population, July 1-Millions",240.651,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1987,"U.S. population, July 1-Millions",242.804,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1988,"U.S. population, July 1-Millions",245.021,Resident population plus the Armed Forces overseas.
"Caloric sweeteners, per capita availability ",1989,"U.S. population, July 1-Millions",247.342,Resident population plus the Armed Forces overseas.
