Commodity,Year,Attribute,Value,Notes
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1984,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",1730.024,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1985,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",1847.35,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1986,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",1869.79,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1987,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",2044.917,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1988,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",2333.065,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1989,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",2350.49,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1990,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",2541.992,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1991,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",2702.305,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1992,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",2800.538,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1993,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",2891.58,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1994,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1995,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1996,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1997,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1998,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,1999,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2000,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2001,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
High fructose corn syrup (HFCS): Supply and use - Dry weight basis,2002,"Food availability-Total-High fructose corn syrup-42-1,000 short tons",,Computed from unrounded data.
