Commodity,Year,Attribute,Value,Notes
"Fluid milk: Total availability, million pounds",1986,"U.S. population, July 1-Millions",240.133,
"Fluid milk: Total availability, million pounds",1987,"U.S. population, July 1-Millions",242.289,
"Fluid milk: Total availability, million pounds",1988,"U.S. population, July 1-Millions",244.499,
"Fluid milk: Total availability, million pounds",1989,"U.S. population, July 1-Millions",246.819,
"Fluid milk: Total availability, million pounds",1990,"U.S. population, July 1-Millions",249.623,
"Fluid milk: Total availability, million pounds",1991,"U.S. population, July 1-Millions",252.981,
"Fluid milk: Total availability, million pounds",1992,"U.S. population, July 1-Millions",256.514,
"Fluid milk: Total availability, million pounds",1993,"U.S. population, July 1-Millions",259.919,
"Fluid milk: Total availability, million pounds",1994,"U.S. population, July 1-Millions",263.126,
"Fluid milk: Total availability, million pounds",1995,"U.S. population, July 1-Millions",266.278,
"Fluid milk: Total availability, million pounds",1996,"U.S. population, July 1-Millions",269.394,
"Fluid milk: Total availability, million pounds",1997,"U.S. population, July 1-Millions",272.647,
"Fluid milk: Total availability, million pounds",1998,"U.S. population, July 1-Millions",275.854,
"Fluid milk: Total availability, million pounds",1999,"U.S. population, July 1-Millions",279.04,
"Fluid milk: Total availability, million pounds",2000,"U.S. population, July 1-Millions",282.172,
"Fluid milk: Total availability, million pounds",2001,"U.S. population, July 1-Millions",285.081556,
"Fluid milk: Total availability, million pounds",2002,"U.S. population, July 1-Millions",287.803914,
"Fluid milk: Total availability, million pounds",2003,"U.S. population, July 1-Millions",290.326418,
"Fluid milk: Total availability, million pounds",2004,"U.S. population, July 1-Millions",293.045739,
"Fluid milk: Total availability, million pounds",2005,"U.S. population, July 1-Millions",295.753151,
"Fluid milk: Total availability, million pounds",2006,"U.S. population, July 1-Millions",298.593212,
"Fluid milk: Total availability, million pounds",2007,"U.S. population, July 1-Millions",301.579895,
"Fluid milk: Total availability, million pounds",2008,"U.S. population, July 1-Millions",304.374846,
"Fluid milk: Total availability, million pounds",2009,"U.S. population, July 1-Millions",307.00655,
"Fluid milk: Total availability, million pounds",2010,"U.S. population, July 1-Millions",309.321666,
"Fluid milk: Total availability, million pounds",2011,"U.S. population, July 1-Millions",311.556874,
"Fluid milk: Total availability, million pounds",2012,"U.S. population, July 1-Millions",313.83099,
"Fluid milk: Total availability, million pounds",2013,"U.S. population, July 1-Millions",315.993715,
"Fluid milk: Total availability, million pounds",2014,"U.S. population, July 1-Millions",318.301008,
"Fluid milk: Total availability, million pounds",2015,"U.S. population, July 1-Millions",320.635163,
"Fluid milk: Total availability, million pounds",2016,"U.S. population, July 1-Millions",322.941311,
"Fluid milk: Total availability, million pounds",2017,"U.S. population, July 1-Millions",324.985539,
"Fluid milk: Total availability, million pounds",2018,"U.S. population, July 1-Millions",326.687501,
"Fluid milk: Total availability, million pounds",2019,"U.S. population, July 1-Millions",328.239523,
"Fluid milk: Total availability, million pounds",1909,Whole milk-Plain-Consumed where produced-Million pounds,9643,
"Fluid milk: Total availability, million pounds",1910,Whole milk-Plain-Consumed where produced-Million pounds,9671,
"Fluid milk: Total availability, million pounds",1911,Whole milk-Plain-Consumed where produced-Million pounds,9696,
"Fluid milk: Total availability, million pounds",1912,Whole milk-Plain-Consumed where produced-Million pounds,9716,
